Epoch 25. Train Loss: 0.218354, Train Acc: 0.929807, Valid Loss: 0.368117, Valid Acc: 0.884988, Time 00:01:06
Epoch 26. Train Loss: 0.227349, Train Acc: 0.928189, Valid Loss: 0.393859, Valid Acc: 0.882219, Time 00:01:06
Epoch 27. Train Loss: 0.222122, Train Acc: 0.929588, Valid Loss: 0.398447, Valid Acc: 0.877275, Time 00:01:06
Epoch 28. Train Loss: 0.212035, Train Acc: 0.932805, Valid Loss: 0.371370, Valid Acc: 0.881230, Time 00:01:06
Epoch 29. Train Loss: 0.212704, Train Acc: 0.931865, Valid Loss: 0.394836, Valid Acc: 0.880439, Time 00:01:06
Epoch 30. Train Loss: 0.215177, Train Acc: 0.931905, Valid Loss: 0.401509, Valid Acc: 0.876483, Time 00:01:06
Epoch 31. Train Loss: 0.212314, Train Acc: 0.931586, Valid Loss: 0.414726, Valid Acc: 0.872528, Time 00:01:06
Epoch 32. Train Loss: 0.209489, Train Acc: 0.933204, Valid Loss: 0.415321, Valid Acc: 0.878263, Time 00:01:06
Epoch 33. Train Loss: 0.209023, Train Acc: 0.934283, Valid Loss: 0.393994, Valid Acc: 0.879153, Time 00:01:06
Epoch 34. Train Loss: 0.209492, Train Acc: 0.933144, Valid Loss: 0.412241, Valid Acc: 0.874506, Time 00:01:05
Epoch 35. Train Loss: 0.204950, Train Acc: 0.933504, Valid Loss: 0.407783, Valid Acc: 0.877769, Time 00:01:06
Epoch 36. Train Loss: 0.199426, Train Acc: 0.935702, Valid Loss: 0.394124, Valid Acc: 0.878263, Time 00:01:05
Epoch 37. Train Loss: 0.201840, Train Acc: 0.936881, Valid Loss: 0.413044, Valid Acc: 0.872231, Time 00:01:05
Epoch 38. Train Loss: 0.195856, Train Acc: 0.937140, Valid Loss: 0.405054, Valid Acc: 0.879351, Time 00:01:06
Epoch 39. Train Loss: 0.201753, Train Acc: 0.935882, Valid Loss: 0.405734, Valid Acc: 0.875989, Time 00:01:05
Epoch 40. Train Loss: 0.194986, Train Acc: 0.937660, Valid Loss: 0.424856, Valid Acc: 0.872132, Time 00:01:06
Epoch 41. Train Loss: 0.196654, Train Acc: 0.938000, Valid Loss: 0.426869, Valid Acc: 0.870945, Time 00:01:06
Epoch 42. Train Loss: 0.196969, Train Acc: 0.936801, Valid Loss: 0.377242, Valid Acc: 0.886472, Time 00:01:06
Epoch 43. Train Loss: 0.195737, Train Acc: 0.936681, Valid Loss: 0.401263, Valid Acc: 0.872824, Time 00:01:06
Epoch 44. Train Loss: 0.192425, Train Acc: 0.938759, Valid Loss: 0.479039, Valid Acc: 0.865012, Time 00:01:06
Epoch 45. Train Loss: 0.196160, Train Acc: 0.937260, Valid Loss: 0.387543, Valid Acc: 0.885186, Time 00:01:06
Epoch 46. Train Loss: 0.184215, Train Acc: 0.941017, Valid Loss: 0.390172, Valid Acc: 0.883010, Time 00:01:06
Epoch 47. Train Loss: 0.186585, Train Acc: 0.939938, Valid Loss: 0.356298, Valid Acc: 0.887757, Time 00:01:06
Epoch 48. Train Loss: 0.188232, Train Acc: 0.940337, Valid Loss: 0.395337, Valid Acc: 0.882812, Time 00:01:06
Epoch 49. Train Loss: 0.192826, Train Acc: 0.939019, Valid Loss: 0.472103, Valid Acc: 0.866001, Time 00:01:06
Epoch 50. Train Loss: 0.181962, Train Acc: 0.942275, Valid Loss: 0.413996, Valid Acc: 0.879252, Time 00:01:06
Epoch 51. Train Loss: 0.183629, Train Acc: 0.941396, Valid Loss: 0.478589, Valid Acc: 0.859474, Time 00:01:06
Epoch 52. Train Loss: 0.187160, Train Acc: 0.941256, Valid Loss: 0.446159, Valid Acc: 0.874407, Time 00:01:06
Epoch 53. Train Loss: 0.182663, Train Acc: 0.941037, Valid Loss: 0.380807, Valid Acc: 0.885680, Time 00:01:06
Epoch 54. Train Loss: 0.177742, Train Acc: 0.942875, Valid Loss: 0.383438, Valid Acc: 0.883604, Time 00:01:06
Epoch 55. Train Loss: 0.177894, Train Acc: 0.943314, Valid Loss: 0.457157, Valid Acc: 0.865111, Time 00:01:06
Epoch 56. Train Loss: 0.182244, Train Acc: 0.942076, Valid Loss: 0.433424, Valid Acc: 0.872033, Time 00:01:06
Epoch 57. Train Loss: 0.176797, Train Acc: 0.943654, Valid Loss: 0.380558, Valid Acc: 0.882219, Time 00:01:06
Epoch 58. Train Loss: 0.169872, Train Acc: 0.945912, Valid Loss: 0.461992, Valid Acc: 0.867385, Time 00:01:06
Epoch 59. Train Loss: 0.171872, Train Acc: 0.945492, Valid Loss: 0.416181, Valid Acc: 0.879747, Time 00:01:06
Epoch 60. Train Loss: 0.174974, Train Acc: 0.944573, Valid Loss: 0.449587, Valid Acc: 0.867385, Time 00:01:06
